caldt,T-bill,Mkt Index,Your Portfolio
20120419,0,-0.57,-1.08
20120420,0,0.11,0.812
20120423,0,-0.95,-0.98
20120424,0,0.29,-0.67
20120425,0,1.44,2.316
20120426,0,0.75,0.774
20120427,0,0.35,0.68
20120430,0,-0.49,-0.688
20120501,0,0.48,-0.102
20120502,0,-0.15,0.906
20120503,0,-0.92,-0.428
20120504,0,-1.62,-1.542
20120507,0,0.04,-0.26
20120508,0,-0.41,-0.512
20120509,0,-0.62,-0.416
20120510,0,0.29,0.434
20120511,0,-0.29,0.616
20120514,0,-1.14,-0.906
20120515,0,-0.52,0.302
20120516,0,-0.44,0.358
20120517,0,-1.64,-1.97
20120518,0,-0.8,-0.524
20120521,0,1.69,2.008
20120522,0,0,0.102
20120523,0,0.26,0.17
20120524,0,0.16,0.496
20120525,0,-0.16,-0.424
20120529,0,1.14,0.666
20120530,0,-1.47,-0.582
20120531,0,-0.23,-0.446
20120601,0,-2.6,-2.738
20120604,0,-0.05,0.556
20120605,0,0.68,0.05
20120606,0,2.32,1.588
20120607,0,-0.1,0.068
20120608,0,0.85,1.066
20120611,0,-1.4,-0.788
20120612,0,1.16,0.884
20120613,0,-0.77,-0.8
20120614,0,1.04,0.842
20120615,0,1.07,0.632
20120618,0,0.21,1.188
20120619,0,1.09,0.328
20120620,0,-0.14,-0.476
20120621,0,-2.26,-1.552
20120622,0,0.79,0.634
20120625,0,-1.62,-0.852
20120626,0,0.52,0.778
20120627,0,0.92,0.068
20120628,0,-0.24,-0.834
20120629,0,2.55,2.274
20120702,0,0.33,0.84
20120703,0,0.76,-0.062
20120705,0,-0.36,0.558
20120706,0,-0.99,-0.534
20120709,0,-0.23,0.568
20120710,0,-0.84,-0.444
20120711,0,-0.08,-0.818
20120712,0,-0.5,0.514
20120713,0,1.62,1.11
20120716,0,-0.31,0.02
20120717,0,0.67,0.418
20120718,0,0.71,0.974
20120719,0,0.27,0.63
20120720,0,-1.06,-0.946
20120723,0,-1.02,-0.84
20120724,0,-0.99,-0.576
20120725,0,-0.01,-0.058
20120726,0,1.53,0.9
20120727,0,1.96,1.336
20120730,0,-0.13,-0.262
20120731,0,-0.47,-0.656
20120801,0,-0.5,-0.71
20120802,0,-0.69,0.288
20120803,0,1.99,1.204
20120806,0,0.34,-0.242
20120807,0,0.64,-0.242
20120808,0,0.09,-0.348
20120809,0,0.12,-0.432
20120810,0,0.17,0.008
20120813,0,-0.14,0.148
20120814,0,-0.03,0.444
20120815,0,0.27,0.198
20120816,0,0.75,0.486
20120817,0,0.27,0.246
20120820,0,-0.06,-0.504
20120821,0,-0.31,-0.892
20120822,0,0,0.438
20120823,0,-0.78,-0.282
20120824,0,0.61,0.766
20120827,0,-0.06,0.366
20120828,0,0.01,0.106
20120829,0,0.15,0.132
20120830,0,-0.8,-0.548
20120831,0,0.52,0.256
20120904,0,0.08,0.632
20120905,0,-0.05,-0.488
20120906,0,2.07,1.488
20120907,0,0.45,-0.84
20120910,0,-0.57,-0.612
20120911,0,0.28,-0.422
20120912,0,0.27,0.048
20120913,0,1.56,1.044
20120914,0,0.54,-0.45
20120917,0,-0.42,0.546
20120918,0,-0.15,0.096
20120919,0,0.18,0.396
20120920,0,-0.13,0.086
20120921,0,0.04,0.208
20120924,0,-0.26,-0.35
20120925,0,-1.11,-0.516
20120926,0,-0.57,-0.804
20120927,0,0.99,1.302
20120928,0,-0.46,-0.358
20121001,0,0.26,0.062
20121002,0,0.1,-0.008
20121003,0,0.36,1.092
20121004,0,0.76,0.118
20121005,0,-0.03,-0.054
20121008,0,-0.36,-0.756
20121009,0,-1.05,-1.5
20121010,0,-0.58,-0.43
20121011,0,0.11,-0.802
20121012,0,-0.34,0.26
20121015,0,0.79,0.808
20121016,0,1,0.982
20121017,0,0.49,-0.08
20121018,0,-0.31,-0.64
20121019,0,-1.68,-1.8
20121022,0,0.01,-0.038
20121023,0,-1.29,-1.134
20121024,0,-0.28,0.044
20121025,0,0.27,-0.048
20121026,0,-0.07,0.17
20121031,0,0.14,-0.184
20121101,0,1.19,0.566
20121102,0,-1.04,-1.178
20121105,0,0.28,0.346
20121106,0,0.8,0.188
20121107,0,-2.31,-1.092
20121108,0,-1.24,-1.444
20121109,0,0.15,0.408
20121112,0,0,-0.03
20121113,0,-0.4,0.134
20121114,0,-1.4,-1.574
20121115,0,-0.24,-0.66
20121116,0,0.58,1.066
20121119,0,1.98,2.094
20121120,0,0.11,0.53
20121121,0,0.31,0.226
20121123,0,1.28,1.106
20121126,0,-0.14,0.028
20121127,0,-0.43,-0.46
20121128,0,0.83,0.83
20121129,0,0.54,0.588
20121130,0,0.02,-0.106
20121203,0.001,-0.459,-0.549
20121204,0.001,-0.159,-0.435
20121205,0.001,0.171,-0.963
20121206,0.001,0.311,0.371
20121207,0.001,0.271,-0.107
20121210,0.001,0.111,-0.117
20121211,0.001,0.681,0.555
20121212,0.001,-0.019,-0.457
20121213,0.001,-0.569,-0.731
20121214,0.001,-0.339,-0.765
20121217,0.001,1.161,1.257
20121218,0.001,1.201,0.907
20121219,0.001,-0.599,-0.791
20121220,0.001,0.531,0.231
20121221,0.001,-0.879,-0.825
20121224,0.001,-0.239,-0.005
20121226,0.001,-0.539,-0.989
20121227,0.001,-0.109,0.161
20121228,0.001,-0.999,-0.807
20121231,0.001,1.711,1.897
20130102,0,2.62,2.536
20130103,0,-0.14,-0.434
20130104,0,0.55,0.076
20130107,0,-0.31,-0.004
20130108,0,-0.27,0.282
20130109,0,0.34,0.634
20130110,0,0.66,0.234
20130111,0,0.02,0.182
20130114,0,-0.06,-0.168
20130115,0,0.19,-0.014
20130116,0,-0.04,-0.064
20130117,0,0.61,0.544
20130118,0,0.29,0.38
20130122,0,0.48,0.078
20130123,0,0.1,0.46
20130124,0,0.09,-0.432
20130125,0,0.59,0.662
20130128,0,-0.14,-0.404
20130129,0,0.36,0.204
20130130,0,-0.38,-0.368
20130131,0,-0.08,-0.41
20130201,0,0.99,1.044
20130204,0,-1.19,-1.1
20130205,0,1.07,1.034
20130206,0,0.15,-0.114
20130207,0,-0.15,-0.252
20130208,0,0.58,0.61
20130211,0,-0.08,-0.326
20130212,0,0.16,-0.278
20130213,0,0.14,0.248
20130214,0,0.11,-0.004
20130215,0,-0.11,0.22
20130219,0,0.74,0.62
20130220,0,-1.36,-0.946
